model_element,original_implementation,corrected_implementation,scientific_consequence,git_commit,source_fingerprint_sha256,config_path,config_sha256,provenance_path,provenance_sha256
Physical species,Generic two-spin or semiconductor shuttling model,Doxorubicin/adriamycin semiquinone with S=1/2 and ground-state O2 with S=1,The chemistry is tied to the stated redox pair.,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Species multiplicity and scope,Species and multiplicities were not consistently separated,"Closed-shell AQ/H2O2: 0 unpaired; semiquinone/superoxide: 1, doublet; ground-state O2: 2, triplet; singlet oxygen excluded",The retained model cannot be read as a singlet-oxygen sensitization mechanism.,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Spin dimensions,Two qubits; dimension 4,Spin-1/2 x spin-1 electronic space; dimension 6,All physical electronic states are retained.,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Manifold classification,Singlet/triplet or basis-parity labels,Doublet (dimension 2) and quartet (dimension 4) projectors,Projectors follow angular-momentum addition.,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Initial states,Bell states or computational-basis preparations,"I6/6, PD/2, PQ/4, and bounded pD mixtures",All cases are computational benchmarks; no chemical preparation is asserted.,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Hamiltonian,Repeated CZ or identity gates used as chemical dynamics,"Zeeman, exchange, dipolar, O2 ZFS, and local-field terms in the six-state space",Unavailable interactions remain disabled or sensitivity-only.,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Relaxation,Semiconductor dephasing parameters,Local isotropic Lindblad sensitivity model with exact-system rates unavailable,No semiconductor relaxation parameter enters active chemistry.,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Electron transfer,Mapped from state counts or parity,Integrated kD Tr(PD rho) and kQ Tr(PQ rho) loss fluxes,Reaction yield is a time-integrated kinetic quantity.,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Encounter escape,Absent or not separated from circuit depth,Independent first-order escape channel kescape Tr(rho),"Reaction, escape, and unresolved survival close the probability balance.",792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
Primary superoxide,Assigned from singlet/triplet or basis outcomes,YD + YQ from integrated electron-transfer flux,One primary radical equivalent is assigned per reacted encounter.,792c06cb8220719a14a0d04a954f240cbd6bb20c,1afbda6f7c930e34dd90ab95767796d038c4429c4f4c40c50f3e68f50bf98a71,configs/doxorubicin_parameters.json,0b7d200aedee3aed703b810ad54927a2126d9ee0952f6ef87cf5ebb57992d345,configs/parameter_provenance.csv,86c4261fcb9616a643db79340fe0b7398ba10a5c46464e67e8b697bcfc3a4ec9
